Make,Fuel,,Engine Cylinders,ActualAverageCityMPG,ActualAverageHighwayMPG,Average City MPG,Average Highway MPG,Number of Records
Acura,Gasoline,Acura,4,25.0,35.0,25.0,35.0,1.0
,,Acura,6,21.0,28.0,21.0,28.0,1.0
Alfa Romeo,Gasoline,,4,24.0,33.0,24.0,33.0,1.0
,,,6,17.0,24.0,17.0,24.0,1.0
Aston Martin,Gasoline,,12,12.0,19.0,12.0,19.0,1.0
Audi,Gasoline,,4,23.5,31.0,47.0,62.0,2.0
,,,6,19.0,27.0,19.0,27.0,1.0
,,,8,17.0,26.0,17.0,26.0,1.0
,,,10,14.0,22.0,14.0,22.0,1.0
Bentley,Gasoline,,8,13.0,22.0,13.0,22.0,1.0
,,,12,12.0,20.0,12.0,20.0,1.0
BMW,Diesel,,4,30.0,41.0,30.0,41.0,1.0
,,,6,23.0,29.0,23.0,29.0,1.0
,Electricity,,0,133.0,109.0,133.0,109.0,1.0
,Gasoline,,2,36.0,33.0,36.0,33.0,1.0
,,,3,28.0,29.0,28.0,29.0,1.0
,,,4,23.0,32.0,23.0,32.0,1.0
,,,6,19.0,28.0,19.0,28.0,1.0
,,,8,15.0,23.0,15.0,23.0,1.0
,,,12,13.0,20.0,13.0,20.0,1.0
Buick,Gasoline,,4,21.5,29.0,43.0,58.0,2.0
,,,6,18.0,26.0,18.0,26.0,1.0
Cadillac,Gasoline,,4,22.0,31.0,44.0,62.0,2.0
,,,6,17.5,25.5,35.0,51.0,2.0
,,,8,14.5,21.0,29.0,42.0,2.0
Chevrolet,Diesel,,4,21.0,29.0,21.0,29.0,1.0
,Electricity,,0,128.0,110.0,128.0,110.0,1.0
,Gasoline,,4,24.0,32.5,48.0,65.0,2.0
,,,6,17.0,24.0,17.0,24.0,1.0
,,,8,15.0,22.0,30.0,44.0,2.0
Chrysler,Gasoline,,4,23.0,36.0,23.0,36.0,1.0
,,,6,20.0,29.0,20.0,29.0,1.0
,,,8,16.0,25.0,16.0,25.0,1.0
Dodge,Gasoline,,4,19.0,25.0,19.0,25.0,1.0
,,,6,18.0,27.0,18.0,27.0,1.0
,,,8,14.5,23.5,29.0,47.0,2.0
,,,10,12.0,19.0,12.0,19.0,1.0
Ferrari,Gasoline,,8,16.0,22.0,16.0,22.0,1.0
,,,12,12.0,16.0,12.0,16.0,1.0
Fiat,Electricity,,0,121.0,103.0,121.0,103.0,1.0
,Gasoline,,4,24.0,32.0,48.0,64.0,2.0
Ford,Electricity,,0,118.0,96.0,118.0,96.0,1.0
,Gasoline,,3,29.0,40.0,29.0,40.0,1.0
,,,4,21.5,28.0,43.0,56.0,2.0
,,,6,14.0,20.5,28.0,41.0,2.0
,,,8,14.5,21.5,29.0,43.0,2.0
Genesis,Gasoline,,6,17.0,25.5,34.0,51.0,2.0
,,,8,15.0,23.0,15.0,23.0,1.0
GMC,Diesel,,4,21.0,29.0,21.0,29.0,1.0
,Gasoline,,4,20.0,27.0,20.0,27.0,1.0
,,,6,17.0,23.0,17.0,23.0,1.0
,,,8,15.0,21.0,15.0,21.0,1.0
Honda,Gasoline,,4,29.5,37.5,59.0,75.0,2.0
,,,6,19.0,28.0,19.0,28.0,1.0
Hyundai,Electricity,,0,150.0,122.0,150.0,122.0,1.0
,Gasoline,,4,27.0,34.0,27.0,34.0,1.0
,,,6,18.0,25.0,18.0,25.0,1.0
Infiniti,Gasoline,,4,23.5,28.5,47.0,57.0,2.0
,,,6,20.0,27.0,20.0,27.0,1.0
,,,8,15.0,22.0,15.0,22.0,1.0
